,49,64,72,95,112,391
"Cycling frequency (mean, SD)",5.8 (4.1),7.1 (3.8),6.8 (5.4),7.1 (3.8),6.7 (4.4),6.8 (4.3)
Cycling distance,14.2 (13.2),19.7 (25.2),14.0 (13.3),23.6 (25.9),23.2 (23.8),19.9 (22.2)
