Cycling behaviour measurement,1st\n(n=2449),2nd\n(n=2555),3rd\n(n=2742),4th\n(2696),5th\n(n=2631),Overall\n(n=13073)
"Cycling participation: Utility (n, perc.)",43 (1.8),60 (2.3),69 (2.5),89 (3.3),102 (3.9),363 (2.8)
Cycling participation: Leisure,51 (2.1),69 (2.7),54 (2.0),61 (2.3),97 (3.7),332 (2.5)
Cycling participation: Total,76 (3.1),102 (4.0),100 (3.6),123 (4.6),162 (6.2),563 (4.3)
