,49,64,72,95,112,391
"Cycling frequency (mean, SD)",5.85 (4.06),7.11 (3.81),6.82 (5.43),7.15 (3.85),6.68 (4.41),6.79 (4.35)
Cycling distance,14.22 (13.23),19.67 (25.20),14.02 (13.35),23.61 (25.94),23.23 (23.77),19.93 (22.25)
