,36667,42352,50065,50323,49381,228788
"Commuting (n, perc.)",128 (0.35),232 (0.55),271 (0.54),485 (0.96),503 (1.02),1618 (0.71)
Shopping,11 (0.03),32 (0.08),47 (0.09),21 (0.04),31 (0.06),143 (0.06)
Education/escort education,41 (0.11),24 (0.06),37 (0.07),21 (0.04),40 (0.08),163 (0.07)
Personal business,66 (0.18),111 (0.26),93 (0.19),77 (0.15),96 (0.19),445 (0.19)
Business,0 (0.00),4 (0.01),6 (0.01),16 (0.03),11 (0.02),36 (0.02)
Other escort,38 (0.10),50 (0.12),36 (0.07),60 (0.12),65 (0.13),249 (0.11)
Leisure,275 (0.75),301 (0.71),193 (0.39),188 (0.37),350 (0.71),1308 (0.57)
Total,560 (1.52),753 (1.78),683 (1.36),868 (1.72),1097 (2.22),3962 (1.73)
