Cycling behaviour measurement,1st\n(n=76),2nd\n(n=102),3rd\n(n=100),4th\n(123),5th\n(n=162),Overall\n(n=563)
"Cycling frequency: Utility (mean, SD)",3.1 (3.9),3.8 (4.2),4.4 (5.2),4.8 (4.2),3.9 (4.5),4.0 (4.5)
Cycling frequency: Leisure,2.9 (3.6),2.6 (2.9),1.7 (2.1),1.4 (1.8),1.9 (2.3),2.0 (2.6)
Cycling frequency: Total,6.0 (4.5),6.5 (4.8),6.0 (5.4),6.2 (4.0),5.8 (4.5),6.1 (4.6)
Cycling distance: Utility,7.4 (11.5),10.2 (19.1),9.2 (12.5),16.1 (23.7),13.6 (21.6),11.9 (19.4)
Cycling distance: Leisure,9.5 (16.5),14.0 (25.2),8.3 (13.4),7.7 (15.1),13.3 (22.2),10.8 (19.5)
Cycling distance: Total,16.9 (17.3),24.2 (28.3),17.5 (15.5),23.8 (26.6),27.0 (27.8),22.7 (24.8)
