,36667,42352,50065,50323,49381,228788
"Commuting (n, perc.)",128 (0.3),232 (0.5),271 (0.5),485 (1.0),503 (1.0),1618 (0.7)
Shopping,11 (0.0),32 (0.1),47 (0.1),21 (0.0),31 (0.1),143 (0.1)
Education/escort education,41 (0.1),24 (0.1),37 (0.1),21 (0.0),40 (0.1),163 (0.1)
Personal business,66 (0.2),111 (0.3),93 (0.2),77 (0.2),96 (0.2),445 (0.2)
Business,0 (0.0),4 (0.0),6 (0.0),16 (0.0),11 (0.0),36 (0.0)
Other escort,38 (0.1),50 (0.1),36 (0.1),60 (0.1),65 (0.1),249 (0.1)
Leisure,275 (0.7),301 (0.7),193 (0.4),188 (0.4),350 (0.7),1308 (0.6)
Total,560 (1.5),753 (1.8),683 (1.4),868 (1.7),1097 (2.2),3962 (1.7)
