,58,71,60,64,101,354
"Cycling frequency (mean, SD)",4.72 (4.21),4.22 (2.95),3.23 (2.09),2.93 (1.77),3.46 (2.45),3.69 (2.82)
Cycling distance,14.85 (19.45),22.22 (30.70),16.62 (16.19),15.70 (19.59),24.68 (28.19),19.58 (24.52)
