Measurement,Purpose,1st,2nd,3rd,4th,5th
Cycling participation,Utility,1.8,2.4,2.5,3.3,3.9
Cycling participation,Leisure,2.1,2.7,2,2.3,3.7
Cycling participation,Total,3.1,4,3.7,4.6,6.2
Cycling frequency,Utility,3.08,3.83,4.37,4.77,3.87
Cycling frequency,Leisure,2.88,2.63,1.66,1.38,1.88
Cycling frequency,Total,5.96,6.46,6.03,6.15,5.75
Cycling distance,Utility,7.39,10.2,9.17,16.1,13.6
Cycling distance,Leisure,9.51,14,8.33,7.74,13.3
Cycling distance,Total,16.9,24.2,17.5,23.8,27
