,2185,2264,2516,2496,2436,11897
"Cycling participation: Utility (n, perc.)",49 (2.23),64 (2.81),72 (2.86),95 (3.81),112 (4.59),391 (3.29)
Cycling participation: Leisure,58 (2.67),71 (3.15),60 (2.37),64 (2.57),101 (4.13),354 (2.98)
Cycling participation: Total,86 (3.93),106 (4.69),108 (4.29),130 (5.23),170 (6.98),600 (5.05)
