,1st\n(n=26682),2nd\n(n=32774),3rd\n(n=38158),4th\n(38963),5th\n(n=39087),Overall\n(n=175664)
"Commuting (n, perc.)",104 (0.4),198 (0.6),244 (0.6),420 (1.1),420 (1.1),1386 (0.8)
Shopping,"54 (0,2)",99 (0.3),75 (0.2),65 (0.2),82 (0.2),375 (0.2)
Education/escort education,36 (0.1),18 (0.1),36 (0.1),16 (0.0),38 (0.1),144 (0.1)
Personal business,30 (0.1),47 (0.1),37 (0.1),53 (0.1),51 (0.1),218 (0.1)
Business,10 (0.0),25 (0.1),40 (0.1),19 (0.0),25 (0.1),119 (0.1)
Other escort,0 (0.0),4 (0.0),5 (0.0),14 (0.0),11 (0.0),34 (0.0)
Leisure,219 (0.8),268 (0.8),166 (0.4),170 (0.4),307 (0.8),1130 (0.6)
Total,453 (1.7),659 (2.0),603 (1.6),757 (1.9),934 (2.4),3406 (1.9)
