,58,71,60,64,101,354
"Cycling frequency (mean, SD)",4.7 (4.2),4.2 (2.9),3.2 (2.1),2.9 (1.8),3.5 (2.5),3.7 (2.8)
Cycling distance,14.8 (19.4),22.2 (30.7),16.6 (16.2),15.7 (19.6),24.7 (28.2),19.6 (24.5)
