Measurement,type,1,2,3,4,5
Cycling frequency,Utility,5.8,7.1,6.8,7.1,6.7
Cycling distance,Utility,14.2,19.7,14,23.6,23.2
Cycling frequency,Leisure,4.7,4.2,3.2,2.9,3.5
Cycling distance,Leisure,14.8,22.2,16.6,15.7,24.7
