,2185,2264,2516,2496,2436,11897
"Cycling participation: Utility (n, perc.)",49 (2.2),64 (2.8),72 (2.9),95 (3.8),112 (4.6),391 (3.3)
Cycling participation: Leisure,58 (2.7),71 (3.1),60 (2.4),64 (2.6),101 (4.1),354 (3.0)
Cycling participation: Total,86 (3.9),106 (4.7),108 (4.3),130 (5.2),170 (7.0),600 (5.0)
