Measurement,Purpose,1st,2nd,3rd,4th,5th
Cycling participation,Utility,2.23,2.81,2.86,3.81,4.59
Cycling participation,Leisure,2.67,3.15,2.37,2.57,4.13
Cycling frequency,Utility,5.85,7.11,6.82,7.15,6.68
Cycling frequency,Leisure,4.72,4.22,3.23,2.93,3.46
Cycling distance,Utility,14.22,19.67,14.02,23.61,23.23
Cycling distance,Leisure,14.85,22.22,16.62,15.7,24.68
